nc_id,nc_date,defect_code,defect_description,process,source,supplier_id,severity,qty_affected,cost_eur
NC-00001,2024-01-01,D06,Device history record incomplete,Documentation,internal,,Minor,7,93.59
NC-00002,2024-01-02,D08,Firmware version mismatch,Final test,internal,,Major,13,1067.43
NC-00003,2024-01-02,D02,Dimensional out of tolerance,Machining,internal,,Critical,24,5371.81
NC-00004,2024-01-03,D03,Solder joint defect,Electronics,internal,,Minor,23,510.3
NC-00005,2024-01-03,D05,Wrong or missing label,Packaging,internal,,Major,3,101.77
NC-00006,2024-01-04,D02,Dimensional out of tolerance,Machining,internal,,Major,19,1041.11
NC-00007,2024-01-04,D06,Device history record incomplete,Documentation,internal,,Minor,21,64.43
NC-00008,2024-01-04,D01,Connector crimp defect,Assembly,supplier,S12,Critical,10,4520.63
NC-00009,2024-01-04,D08,Firmware version mismatch,Final test,internal,,Minor,14,371.13
NC-00010,2024-01-05,D07,Cosmetic scratch,Assembly,internal,,Major,18,197.43
NC-00011,2024-01-08,D07,Cosmetic scratch,Assembly,internal,,Minor,9,163.49
NC-00012,2024-01-08,D04,Seal leak at pressure test,Final test,internal,,Major,13,5061.35
NC-00013,2024-01-09,D05,Wrong or missing label,Packaging,internal,,Minor,13,85.27
NC-00014,2024-01-09,D06,Device history record incomplete,Documentation,internal,,Minor,1,72.24
NC-00015,2024-01-09,D05,Wrong or missing label,Packaging,internal,,Major,5,169.05
NC-00016,2024-01-10,D06,Device history record incomplete,Documentation,internal,,Minor,11,114.58
NC-00017,2024-01-10,D07,Cosmetic scratch,Assembly,internal,,Minor,10,21.74
NC-00018,2024-01-10,D05,Wrong or missing label,Packaging,internal,,Minor,4,129.31
NC-00019,2024-01-11,D03,Solder joint defect,Electronics,internal,,Major,20,212.57
NC-00020,2024-01-11,D06,Device history record incomplete,Documentation,internal,,Minor,7,37.19
NC-00021,2024-01-11,D03,Solder joint defect,Electronics,internal,,Minor,15,595.44
NC-00022,2024-01-12,D03,Solder joint defect,Electronics,internal,,Minor,19,520.48
NC-00023,2024-01-15,D07,Cosmetic scratch,Assembly,internal,,Minor,23,23.51
NC-00024,2024-01-15,D04,Seal leak at pressure test,Final test,internal,,Major,12,675.97
NC-00025,2024-01-16,D05,Wrong or missing label,Packaging,internal,,Minor,20,272.23
NC-00026,2024-01-17,D07,Cosmetic scratch,Assembly,internal,,Major,12,92.4
NC-00027,2024-01-18,D03,Solder joint defect,Electronics,internal,,Minor,11,402.61
NC-00028,2024-01-19,D11,Test fixture calibration overdue,Final test,internal,,Minor,21,237.63
NC-00029,2024-01-19,D04,Seal leak at pressure test,Final test,internal,,Major,8,1001.02
NC-00030,2024-01-23,D10,Packaging damage in transit,Customer,customer,,Minor,15,238.47
NC-00031,2024-01-23,D03,Solder joint defect,Electronics,internal,,Minor,15,120.81
NC-00032,2024-01-25,D02,Dimensional out of tolerance,Machining,internal,,Minor,23,271.88
NC-00033,2024-01-25,D02,Dimensional out of tolerance,Machining,internal,,Minor,7,212.69
NC-00034,2024-01-26,D03,Solder joint defect,Electronics,internal,,Major,13,176.74
NC-00035,2024-01-29,D10,Packaging damage in transit,Customer,customer,,Major,5,694.8
NC-00036,2024-01-29,D06,Device history record incomplete,Documentation,internal,,Minor,9,165.52
NC-00037,2024-01-30,D03,Solder joint defect,Electronics,internal,,Minor,19,100.66
NC-00038,2024-01-31,D03,Solder joint defect,Electronics,internal,,Minor,7,132.94
NC-00039,2024-01-31,D04,Seal leak at pressure test,Final test,internal,,Major,1,2792.13
NC-00040,2024-01-31,D01,Connector crimp defect,Assembly,supplier,S07,Minor,5,1206.62
NC-00041,2024-01-31,D10,Packaging damage in transit,Customer,customer,,Minor,11,81.42
NC-00042,2024-02-01,D08,Firmware version mismatch,Final test,internal,,Minor,22,235.29
NC-00043,2024-02-02,D03,Solder joint defect,Electronics,internal,,Major,19,574.86
NC-00044,2024-02-05,D05,Wrong or missing label,Packaging,internal,,Minor,7,216.92
NC-00045,2024-02-07,D03,Solder joint defect,Electronics,internal,,Minor,9,1478.38
NC-00046,2024-02-07,D07,Cosmetic scratch,Assembly,internal,,Minor,11,142.51
NC-00047,2024-02-08,D01,Connector crimp defect,Assembly,supplier,S07,Critical,18,899.63
NC-00048,2024-02-08,D03,Solder joint defect,Electronics,internal,,Minor,2,883.73
NC-00049,2024-02-09,D02,Dimensional out of tolerance,Machining,internal,,Minor,21,1373.07
NC-00050,2024-02-12,D07,Cosmetic scratch,Assembly,internal,,Major,15,56.71
NC-00051,2024-02-15,D06,Device history record incomplete,Documentation,internal,,Major,7,575.05
NC-00052,2024-02-15,D05,Wrong or missing label,Packaging,internal,,Minor,14,55.78
NC-00053,2024-02-15,D08,Firmware version mismatch,Final test,internal,,Minor,19,509.54
NC-00054,2024-02-16,D01,Connector crimp defect,Assembly,supplier,S03,Minor,23,361.69
NC-00055,2024-02-19,D07,Cosmetic scratch,Assembly,internal,,Minor,2,48.88
NC-00056,2024-02-20,D06,Device history record incomplete,Documentation,internal,,Major,20,151.16
NC-00057,2024-02-20,D07,Cosmetic scratch,Assembly,internal,,Minor,10,132.02
NC-00058,2024-02-21,D08,Firmware version mismatch,Final test,internal,,Major,7,1135.02
NC-00059,2024-02-21,D02,Dimensional out of tolerance,Machining,internal,,Major,5,1966.48
NC-00060,2024-02-23,D02,Dimensional out of tolerance,Machining,internal,,Minor,22,492.74
NC-00061,2024-02-23,D04,Seal leak at pressure test,Final test,internal,,Minor,22,4026.3
NC-00062,2024-02-27,D01,Connector crimp defect,Assembly,supplier,S05,Major,14,395.38
NC-00063,2024-02-27,D05,Wrong or missing label,Packaging,internal,,Minor,4,125.93
NC-00064,2024-02-29,D05,Wrong or missing label,Packaging,internal,,Minor,10,220.32
NC-00065,2024-03-01,D04,Seal leak at pressure test,Final test,internal,,Major,15,1794.99
